a52dec 0.7.4-10
aalib 1.4rc5-13
accounts-qml-module 0.7-2
accountsservice 0.6.54+2+g204a4ab-1
acl 2.2.53-1
acpi 1.7-2
acpid 2.0.31-1
adwaita-icon-theme 3.30.1-1
alpm-octopi-utils 1.0.0-3
alsa-firmware 1.0.29-2
alsa-lib 1.1.7-2
alsa-plugins 1.1.7-3
alsa-utils 1.1.7-1
android-tools 9.0.0_r18-1
android-udev 20181031-1
aom 1.0.0-1
appimagelauncher 1.0alpha+git20181009.b04daee-1
appstream 0.12.4-1
appstream-glib 0.7.14-1
appstream-qt 0.12.4-1
apr 1.6.5-1
apr-util 1.6.1-3
archlinux-keyring 20181218-1
argon2 20171227-3
aribb24 1.0.3-2
ark 18.12.0-1
asciidoc 8.6.10-1
aspell 0.60.7rc1-1
at-spi2-atk 2.30.0-1
at-spi2-core 2.30.0-2
atk 2.30.0-1
attica 5.53.0-1
attr 2.4.48-1
audit 2.8.4-2
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+16+g1cc2b8e-2
b43-fwcutter 019-2
baloo 5.53.0-1
baloo-widgets 18.12.0-1
bash 4.4.023-2
bashrc-manjaro 4.4.023-2
bc 1.07.1-2
binutils 2.31.1-4
bison 3.2-1
bluedevil 1:5.14.4-1
bluez 5.50-3
bluez-libs 5.50-3
bluez-qt 5.53.0-1
boost-libs 1.68.0-2
breath-icon-theme 0.4.0-1
breeze 5.14.4-1
breeze-icons 5.53.0-1
bridge-utils 1.6-3
brotli 1.0.7-1
btrfs-progs 4.19.1-1
bubblewrap 0.3.1-1
bumblebee 3.2.1-22
bzip2 1.0.6-8
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.41-1
ca-certificates-utils 20181109-1
cairo 1.16.0-1
cantarell-fonts 1:0.111-1
cdparanoia 10.2-7
celt 0.11.3-3
cfitsio 3.450-1
chromaprint 1.4.3-2
cifs-utils 6.8-2
ckbcomp 1.175-1
clucene 2.3.3.4-10
cmake 3.13.1-1
code 1.30.1-1
colord 1.4.3-2
containerd 1.2.0-2
convertlit 1.8-8
coreutils 8.30-1
cpupower 4.19-1
cracklib 2.9.6-3
crda 4.14-1
cronie 1.5.2-1
cryptsetup 2.0.6-1
cups 2.2.10-1
cups-filters 1.21.6-1
cups-pdf 3.0.1-4
cups-pk-helper 0.2.6-2
curl 7.63.0-2
db 5.3.28-4
dbus 1.12.12-1
dbus-glib 0.110-1
dbus-sharp 0.8.1-2
dbus-sharp-glib 0.6.0-2
dconf 0.30.1-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.183-1
dhclient 4.4.1-4
dhcpcd 7.0.8-1
diffutils 3.6-2
ding-libs 0.6.1-2
discount 2.2.4-1
djvulibre 3.5.27-4
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-11
dnsmasq 2.80-1
dnssec-anchors 20181003-1
docbook-xml 4.5-8
docbook-xsl 1.79.2-4
docker 1:18.09.0-2
docker-compose 1.23.2-1
dolphin 18.12.0-1
dolphin-plugins 18.12.0-1
dosfstools 4.1-2
double-conversion 3.1.1-1
e2fsprogs 1.44.5-1
ebook-tools 0.2.2-5
ecryptfs-utils 111-3
editorconfig-core-c 0.12.3-1
efibootmgr 16-1
efivar 35-1
egl-wayland 1.1.1-1
eglexternalplatform 1.0+3+g7c8f8e2-1
electron 3.0.13-2
electron2 2.0.16-1
enchant 2.2.3-2
exfat-utils 1.3.0-1
exiv2 0.26-2
expat 2.2.6-1
extra-cmake-modules 5.53.0-1
f2fs-tools 1.12.0-2
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.23-1
ffmpeg 1:4.1-1
ffmpegthumbs 18.12.0-1
fftw 3.3.8-1
file 5.35-1
filelight 18.12.0-1
filesystem 2018.9-1
findutils 4.6.0-4
firefox 64.0-1
flac 1.3.2-2
flameshot 0.6.0-2
flatpak 1.1.2-1
flex 2.6.4-2
fontconfig 2:2.13.1+12+g5f5ec56-1
foomatic-db-engine 4:4.0.13-1
frame 2.5.0-1
frameworkintegration 5.53.0-1
freeglut 3.0.0-2
freetype2 2.9.1-1
fribidi 1.0.5-1
fuse-common 3.3.0-1
fuse2 2.9.8-1
fuse3 3.3.0-1
gamin 0.1.10-9
gawk 4.2.1-1
gc 7.6.8-1
gcab 1.2-1
gcc 8.2.1+20181127-1
gcc-libs 8.2.1+20181127-1
gconf 3.2.6+11+g07808097-4
gconf-sharp 2.24.2-6
gcr 3.28.0-4
gd 2.2.5-1
gdbm 1.18.1-1
gdk-pixbuf2 2.38.0-1
geis 2.2.17-2
geoclue2 2.5.1-1
gesture-manager-git 0.1-1
gestures 0.2.2-3
gettext 0.19.8.1-3
ghostscript 9.26-1
giflib 5.1.4-2
git 2.20.1-1
gkeyfile-sharp 0.1-4
glew 2.1.0-1
glib-networking 2.58.0-1
glib2 2.58.2-1
glibc 2.28-5
glslang 7.10.2984-1
glu 9.0.0-5
gmp 6.1.2-2
gnome-icon-theme 3.12.0-5
gnome-icon-theme-symbolic 3.12.0-5
gnome-keyring-sharp 1.0.2-6
gnome-themes-extra 3.28-1
gnupg 2.2.12-1
gnustep-base 1.25.1-4
gnutls 3.6.5-1
go 2:1.11.4-1
gobject-introspection-runtime 1.58.3-1
google-chrome 71.0.3578.98-1
gperftools 2.7-1
gpgme 1.12.0-1
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
grail 3.1.1-1
grantlee 5.1.0-2
graphene 1.8.2-1
graphite 1:1.3.13-1
grep 3.3-1
groff 1.22.3-8
grub 2.03.2-1
grub-theme-manjaro 18.0-1
gsettings-desktop-schemas 3.28.1-1
gsfonts 20180524-1
gsl 2.5-1
gsm 1.0.18-1
gssproxy 0.8.0-1
gst-libav 1.14.4-1
gst-plugins-bad 1.14.4-5
gst-plugins-base 1.14.4-1
gst-plugins-base-libs 1.14.4-1
gst-plugins-good 1.14.4-1
gst-plugins-ugly 1.14.4-1
gstreamer 1.14.4-1
gtest 1.8.1-3
gtk-sharp-2 2.12.45-1
gtk-theme-breath 5.9.0-1
gtk-update-icon-cache 3.24.2+7+g43aeb52b73-1
gtk2 2.24.32-1
gtk3 3.24.2+7+g43aeb52b73-1
guile 2.2.4-1
gulp 4.0.0-1
gvfs 1.38.1-1
gvfs-afc 1.38.1-1
gvfs-gphoto2 1.38.1-1
gvfs-mtp 1.38.1-1
gvfs-nfs 1.38.1-1
gvfs-smb 1.38.1-1
gwenview 18.12.0-1
gzip 1.9-2
harfbuzz 2.2.0-1
harfbuzz-icu 2.2.0-1
haveged 1.9.4-3
hdparm 9.58-1
hicolor-icon-theme 0.17-1
hplip 1:3.18.6-2
hspell 1.4-1
htop 2.2.0-2
http-parser 2.9.0-1
hunspell 1.7.0-1
hunspell-en_US 2018.04.16-5
hwids 20180917-1
hwinfo 21.58-1
hyphen 2.8.8-2
iana-etc 20180913-1
icu 63.1-2
ijs 0.35-2
illyria-wallpaper 1.4-1
ilmbase 2.3.0-1
imagemagick 7.0.8.21-1
imagewriter 1.10.1420800585.134a9b3-4
imlib2 1.5.1-1
inetutils 1.9.4-6
iniparser 4.1-1
intel-ucode 20180807.a-1
inxi 3.0.28-1
iproute2 4.19.0-1
iptables 1:1.8.2-1
iputils 20180629.f6aac8d-2
ipw2100-fw 1.3-9
ipw2200-fw 3.1-7
iso-codes 4.1-1
iw 4.14-1
jack 0.125.0-5
jansson 2.12-1
jasper 2.0.14-1
jbig2dec 0.15-1
jfsutils 1.1.15-6
jq 1.6-1
js52 52.9.0-1
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.8.4-2
kaccounts-integration 18.12.0-1
kaccounts-providers 18.12.0-1
kactivities 5.53.0-1
kactivities-stats 5.53.0-1
kactivitymanagerd 5.14.4-1
kamera 18.12.0-1
karchive 5.53.0-1
kate 18.12.0-1
kauth 5.53.0-1
kbd 2.0.4-2
kbookmarks 5.53.0-1
kcalc 18.12.0-1
kcmutils 5.53.0-1
kcodecs 5.53.0-1
kcompletion 5.53.0-1
kconfig 5.53.0-1
kconfigwidgets 5.53.0-1
kcoreaddons 5.53.0-1
kcrash 5.53.0-1
kdbusaddons 5.53.0-1
kde-cli-tools 5.14.4-1
kde-gtk-config 5.14.4-1
kde-servicemenus-rootactions 2.9.1-1
kdeclarative 5.53.0-1
kdeconnect 1.3.3-1
kdecoration 5.14.4-1
kded 5.53.0-1
kdegraphics-thumbnailers 18.12.0-1
kdelibs4support 5.53.0-1
kdenetwork-filesharing 18.12.0-1
kdeplasma-addons 5.14.4-1
kdesu 5.53.0-1
kdialog 18.12.0-1
kdnssd 5.53.0-1
kdoctools 5.53.0-1
keditbookmarks 18.12.0-1
kemoticons 5.53.0-1
keyutils 1.6-1
kfilemetadata 5.53.0-1
kfind 18.12.0-1
kgamma5 5.14.4-1
kget 18.12.0-1
kglobalaccel 5.53.0-1
kguiaddons 5.53.0-1
khelpcenter 18.12.0-1
kholidays 1:5.53.0-1
khotkeys 5.14.4-1
khtml 5.53.0-1
ki18n 5.53.0-1
kiconthemes 5.53.0-1
kidletime 5.53.0-1
kimageformats 5.53.0-1
kinfocenter 5.14.4-1
kinit 5.53.0-2
kio 5.53.0-1
kio-extras 18.12.0-1
kirigami2 5.53.0-1
kitemmodels 5.53.0-1
kitemviews 5.53.0-1
kjobwidgets 5.53.0-1
kjs 5.53.0-1
kjsembed 5.53.0-1
kmenuedit 5.14.4-1
kmod 25-1
knetattach 5.14.4-2
knewstuff 5.53.0-1
knotifications 5.53.0-1
knotifyconfig 5.53.0-1
konsole 18.12.0-1
konversation 1.7.5-1
kpackage 5.53.0-1
kparts 5.53.0-1
kpeople 5.53.0-1
kpmcore 3.3.0-1
kpty 5.53.0-1
krb5 1.16.1-1
krita 4.1.7-1
krunner 5.53.0-1
kscreen 5.14.4-1
kscreenlocker 5.14.4-1
kservice 5.53.0-1
ksshaskpass 5.14.4-1
ksysguard 5.14.4-2
ksystemlog 18.12.0-1
ktexteditor 5.53.0-1
ktextwidgets 5.53.0-1
kunitconversion 5.53.0-1
kwallet 5.53.0-1
kwallet-pam 5.14.4-1
kwalletmanager 18.12.0-1
kwayland 5.53.0-1
kwayland-integration 5.14.4-1
kwidgetsaddons 5.53.0-1
kwin 5.14.4-2
kwindowsystem 5.53.0-1
kwrited 5.14.4-1
kxmlgui 5.53.0-1
l-smash 2.14.5-1
ladspa 1.13-7
lame 3.100-2
latte-dock-git 0.7.96.r227.g74238dba-1
lcms2 2.9-1
ldb 1:1.4.3-1
ldns 1.7.0-4
less 530-1
lib32-alsa-lib 1.1.7-1
lib32-alsa-plugins 1.1.7-1
lib32-attr 2.4.48-1
lib32-bzip2 1.0.6-3
lib32-dbus 1.12.12-1
lib32-expat 2.2.6-1
lib32-flac 1.3.2-2
lib32-flex 2.6.4-2
lib32-gcc-libs 8.2.1+20181127-1
lib32-glew 2.1.0-1
lib32-glib2 2.58.2-1
lib32-glibc 2.28-5
lib32-glu 9.0.0-4
lib32-icu 63.1-2
lib32-libasyncns 0.8+3+g68cd5af-2
lib32-libcanberra 0.30+2+gc0620e4-1
lib32-libcanberra-pulse 0.30+2+gc0620e4-1
lib32-libcap 2.25-2
lib32-libdrm 2.4.96-1
lib32-libelf 0.175-1
lib32-libffi 3.2.1-2
lib32-libgcrypt 1.8.4-1
lib32-libglvnd 1.1.0-1
lib32-libgpg-error 1.32-1
lib32-libice 1.0.9-3
lib32-libltdl 2.4.6+40+g6ca5e224-4
lib32-libogg 1.3.3-2
lib32-libpciaccess 0.14-1
lib32-libpulse 12.2-1
lib32-libsm 1.2.3-1
lib32-libsndfile 1.0.28-2
lib32-libva 2.3.0-1
lib32-libva-intel-driver 2.2.0-1
lib32-libva-mesa-driver 18.3.1-1
lib32-libva-vdpau-driver 0.7.4-6
lib32-libvdpau 1.1.1-3
lib32-libvorbis 1.3.6-1
lib32-libx11 1.6.7-1
lib32-libxau 1.0.8-2
lib32-libxcb 1.13.1-1
lib32-libxdamage 1.1.4-3
lib32-libxdmcp 1.1.2-2
lib32-libxext 1.3.3-2
lib32-libxfixes 5.0.3-2
lib32-libxi 1.7.9-2
lib32-libxml2 2.9.8-5
lib32-libxmu 1.1.2-2
lib32-libxshmfence 1.3-1
lib32-libxss 1.2.3-1
lib32-libxt 1.1.5-2
lib32-libxtst 1.2.3-2
lib32-libxxf86vm 1.1.4-2
lib32-llvm-libs 7.0.1-1
lib32-lm_sensors 3.5.0-2
lib32-mesa 18.3.1-1
lib32-mesa-demos 8.4.0-1
lib32-ncurses 6.1-3
lib32-nvidia-utils 1:415.25-1
lib32-pcre 8.42-1
lib32-primus 20151110-4
lib32-readline 7.0.005-1
lib32-systemd 239.6-2
lib32-tdb 1.3.16-1
lib32-util-linux 2.33-1
lib32-wayland 1.16.0-1
lib32-xz 5.2.4-1
lib32-zlib 1.2.11-2
libabw 0.1.2-1
